Station Name,Start,Finish,SO2,CO,NOx,Ozone
Clare_Ennis_SO2_hourly,2006,2017,yes,no,no,no
Cork_Bishopstown_ozone_SO2_hourly,2016,2017,yes,no,no,yes
Cork_Glashaboy_ozone_NOx_hourly,1995,2012,no,no,yes,yes
Cork_OldStationRoad_CO_NOx_ozone_SO2_hourly,2002,2012,yes,yes,yes,yes
Cork_SouthLinkRoad_CO_ozone_NOx_SO2_hourly,2014,2017,yes,yes,yes,yes
Dublin_Balbriggan_CO_NOx_SO2_hourly,2012,2014,yes,yes,yes,no
Dublin_Ballyfermot_NOx_SO2_hourly,2003,2017,yes,no,yes,no
Dublin_Blanchardstown_NOx_hourly,2008,2017,no,no,yes,no
Dublin_Clonskeagh_Ozone_hourly,2008,2016,no,no,no,yes
Dublin_ColeraineStreet_CO_NOx_SOx_hourly,2001,2017,yes,yes,yes,no
Dublin_DunLaoghaire_NOx_hourly,2008,2017,no,no,yes,no
Dublin_Knocklyon_CO_NOx_SO2_hourly,2007,2009,yes,yes,yes,no
Dublin_PotteryRoad_ozone_94_02_hourly,1994,2001,no,no,no,yes
Dublin_Rathmines_NOx_O3_SO2_hourly,1988,2017,yes,no,yes,yes
Dublin_Ringsend_CO_NOx_SO2_hourly,2009,2017,yes,yes,yes,no
Dublin_StAnnesPark_NOx_hourly,2003,2015,no,no,yes,no
Dublin_Swords_NOx_Ozone_hourly,2010,2015,no,no,yes,yes
Dublin_Tallaght_SO2_hourly,2009,2016,yes,no,no,no
Dublin_WinetavernSt_CO_NOx_SO2_hourly,2001,2017,yes,yes,yes,no
Galway_MaceHead_ozone_hourly,1994,2017,no,no,no,yes
Kerry_Valentia_ozone_hourl,2001,2017,no,no,no,yes
Kilkenny_SevilleLodge_NOx_Ozone_hourly,2012,2017,no,no,yes,yes
Laois_EmoCourt_NOx_Ozone_hourly,2004,2017,no,no,yes,yes
Laois_Portlaoise_CO_NOx_SO2_hourly,2014,2017,yes,yes,yes,no
Limerick_Parkroad_NOx_Ozone_hourly,2005,2011,no,no,yes,yes
Limerick_Shannon_SO2_hourly,1999,2006,yes,no,no,no
Limerick_ShannonEstuary_SO2_hourly,2007,2016,yes,no,no,no
Mayo_Castlebar_NOx_ozone_hourly,2009,2017,no,no,yes,yes
Monaghan_Kilkitt_NOx_ozone_SO2_hourly,1997,2017,yes,no,yes,yes
Monaghan_Monaghan_NOx_ozone_SO2_hourly,1995,2006,yes,no,yes,yes
Westmeath_Mullingar_CO_NOx_SO2_hourly,2012,2014,yes,yes,yes,no
Wexford_Enniscorthy_CO_NOx_SO2_hourly,2014,2016,yes,yes,yes,no
Wexford_JohnstoneCastle_ozone_hourly,1999,2009,no,no,no,yes
Wicklow_Avondale_ozone_hourly,1995,2000,no,no,no,yes
Wicklow_Bray_ozone_hourly,2010,2017,no,no,no,yes